年度,期作,縣市,鄉鎮,作物代碼,作物,種植面積,收穫面積,稻穀總產量,稻穀單位產量,糙米總產量,糙米單位產量
113,二期作,台北市,北投區,C01 ,稉稻,215.66,215.66,466904,2165,359516,1667
113,一期作,台東縣,海端鄉,C01 ,稉稻,133.47,133.47,892247,6685,618863,4637
113,二期作,台東縣,海端鄉,C01 ,稉稻,117,117,523692,4476,420263,3592
113,一期作,台東縣,臺東市,C01 ,稉稻,1164.04,1164.04,4950662,4253,3271893,2811
113,二期作,台東縣,臺東市,C01 ,稉稻,1168.51,1168.51,3400364,2910,2631542,2252
113,一期作,台東縣,關山鎮,C01 ,稉稻,2016.57,2016.57,14770234,7324,9804481,4862
113,二期作,台東縣,關山鎮,C01 ,稉稻,2063.62,2063.62,9560751,4633,7560642,3664
113,一期作,台東縣,關山鎮,C04 ,稉糯稻,35,35,255465,7299,169578,4845
113,一期作,台東縣,成功鎮,C01 ,稉稻,96.52,96.52,514355,5329,318849,3303
113,二期作,台東縣,成功鎮,C01 ,稉稻,41.85,41.85,135217,3231,101818,2433
113,一期作,台東縣,延平鄉,C01 ,稉稻,31.77,31.77,191414,6025,132765,4179
113,二期作,台東縣,延平鄉,C01 ,稉稻,28.59,28.59,128512,4495,101512,3551
113,一期作,台東縣,長濱鄉,C01 ,稉稻,375.83,375.83,1639746,4363,1066163,2837
113,二期作,台東縣,長濱鄉,C01 ,稉稻,13.37,13.37,40885,3058,27892,2086
113,一期作,台東縣,鹿野鄉,C01 ,稉稻,933.7,933.7,5716111,6122,3957835,4239
113,二期作,台東縣,鹿野鄉,C01 ,稉稻,996.3,996.3,4451468,4468,3524227,3537
113,一期作,台東縣,卑南鄉,C01 ,稉稻,95.43,95.43,510932,5354,356528,3736
113,二期作,台東縣,卑南鄉,C01 ,稉稻,92.85,92.85,317083,3415,246627,2656
113,一期作,台東縣,東河鄉,C01 ,稉稻,97.22,97.22,665374,6844,430763,4431
113,二期作,台東縣,東河鄉,C01 ,稉稻,78.31,78.31,328745,4198,225256,2876
113,一期作,台東縣,池上鄉,C01 ,稉稻,1476.7,1476.7,9970398,6752,6843682,4634
113,二期作,台東縣,池上鄉,C01 ,稉稻,1476.58,1473.58,6374707,4326,5021994,3408
113,一期作,台東縣,池上鄉,C04 ,稉糯稻,23,23,154077,6699,105758,4598
113,二期作,台東縣,池上鄉,C04 ,稉糯稻,22,22,95172,4326,74977,3408
113,一期作,桃園市,楊梅區,C01 ,稉稻,1603.5,1603.5,9723624,6064,7915030,4936
113,二期作,桃園市,楊梅區,C01 ,稉稻,349.57,349.57,1124916,3218,908932,2600
113,一期作,桃園市,蘆竹區,C01 ,稉稻,785,785,3659670,4662,2935055,3739
113,二期作,桃園市,蘆竹區,C01 ,稉稻,34.25,34.25,101175,2954,79220,2313
113,一期作,桃園市,中壢區,C01 ,稉稻,1061.27,1061.27,6132018,5778,4962642,4676
113,二期作,桃園市,中壢區,C01 ,稉稻,116.01,116.01,357079,3078,279236,2407
